Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CognitiveComplexity,HalsteadMaintainIdx
Ambiguous Method,"validateActivationRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"validateCSR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"validateDeactivationRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
File,"validation.js",18,4,14,0,3,,,0,,,4,,3,,,,,,,,,,,59,14,45,0,31,9,25,1,5,,3,"0,00",13,0,0,"0,00","0,00",,"0,00"
File,"validation.test.js",190,46,144,0,1,,,0,,,21,,20,,,,,,,,,,,190,46,144,0,72,6,69,1,2,,1,"0,00",22,0,0,"0,00","0,00",,"0,00"
File,"verify-mtls.js",74,17,57,0,6,,,0,,,2,,1,,,,,,,,,,,84,19,65,0,43,10,36,1,10,,3,"0,00",11,0,0,"0,00","0,00",,"0,00"
File,"verify-nonce.js",25,6,19,0,3,,,0,,,2,,1,,,,,,,,,,,27,7,20,0,15,4,13,1,4,,2,"0,00",5,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"verifyClientCert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"verifyNonce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
Ambiguous Method,"verifyRequestSignature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"0,00","0,00",,"0,00"
File,"webhook.js",25,3,22,0,3,,,0,,,4,,3,,,,,,,,,,,96,13,69,14,32,12,25,1,5,,2,"0,20",10,0,0,"0,00","0,00",,"0,00"
